[Header],B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
INFO,OVN234,OVEN_SERIAL_NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,01.01.10,OVEN_SOFTWARE_VERSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,802,COIL_SERIAL_NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,0,MOMENT_UNITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,FePd,SAMPLE_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,CA 500C 1hr 1x1mm TRANS ,SAMPLE_COMMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,0.194,SAMPLE_MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,,SAMPLE_VOLUME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,,SAMPLE_MOLECULAR_WEIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,,SAMPLE_SIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,,SAMPLE_SHAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATATYPE,COMMENT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATATYPE,TIME,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARTUPAXIS,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARTUPAXIS,Y1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3932116949.516,299.942321777344,0.0345279453322291,0.00453232695864942,7.95005076468858E-7,1,0.999253354069792,40.0298881530762,1.99456996497977,4.72000008448958,0.0512615932093373,0.0089115825429196,2.5,9.96922830344174E-7,0.00453219888224334,4.00723048206941E-6,299.942535400391,299.942535400391,0.0297851022332907,0.0392707884311676,49.0276488687552,17.0637211771051,48.1885032653809,0,0,0,40,299.941802978516,1,4,1,1.89956665039062,37.6344108581543,,,,,,,,,,,,,,,,
,3932116957.171,299.942535400391,-0.10775750502944,0.00453011029660277,5.48233952685248E-7,1,0.999253354069792,40.0298881530762,1.99462024166878,4.72000008448958,0.0512393129823822,0.00889852675706611,2.5,2.08399207825685E-7,0.00452998277628313,3.21725417129659E-6,299.942535400391,299.942535400391,-0.126728892326355,-0.0887861177325249,49.0331202683898,17.0646802330527,48.1905288696289,0,0,0,40,299.941101074219,1,6,1,1.900634765625,38.6119270324707,,,,,,,,,,,,,,,,
,3932116957.44,299.942245483398,-0.368614137172699,0.00452771669112748,7.69925580958375E-7,1,0.999253354069792,40.0298881530762,1.99454854654844,4.72000008448958,0.0512084803200831,0.00890496243677369,2.5,1.22018995649926E-6,0.00452758860673061,4.22743012599399E-6,299.942535400391,299.942535400391,-0.610499382019043,-0.126728892326355,48.9447962457167,17.0651476593522,48.1889533996582,0,0,0,40,299.940521240234,1,6,1,1.89971923828125,39.1006851196289,,,,,,,,,,,,,,,,
,3932116958.1385,299.942306518555,-1.05869847536087,0.00451991543855802,1.1359127151371E-6,1,0.999253354069792,40.0298881530762,1.99457581811886,4.72000008448958,0.0511222214517923,0.00888224614272154,2.5,5.55876688014719E-7,0.00451978800614978,3.55795321551939E-6,299.941955566406,299.941955566406,-1.5068975687027,-0.610499382019043,48.9088413338321,17.0652958337282,48.1860237121582,0,0,0,40,299.940795898438,1,6,1,1.91329956054687,38.6119270324707,,,,,,,,,,,,,,,,
,3932116959.1705,299.943084716797,-2.03335374593735,0.0045032238154039,1.35434290203665E-6,1,0.999253354069792,40.0298881530762,1.99458775067942,4.72000008448958,0.0509313323039809,0.00886327143816024,2.5,1.77177564987792E-6,0.00450309593615449,4.76272214729797E-6,299.942657470703,299.942657470703,-2.559809923172,-1.5068975687027,48.9463595027552,17.0647321060714,48.1880531311035,0,0,0,40,299.941802978516,1,6,1,1.91177368164062,39.1006851196289,,,,,,,,,,,,,,,,
,3932116960.225,299.943023681641,-3.07440876960754,0.00446884899076209,2.21531298987718E-6,1,0.999253354069792,40.0298881530762,1.99458843827789,4.72000008448958,0.0505453037388369,0.00877987713684911,2.5,3.66608844183011E-7,0.00446872302043223,3.3347640817315E-6,299.943511962891,299.943511962891,-3.58900761604309,-2.559809923172,49.3528063327552,17.0661033518995,48.1909790039063,0,0,0,40,299.942810058594,1,6,1,1.90185546875,38.6119270324707,,,,,,,,,,,,,,,,
,3932116961.2225,299.942810058594,-4.11309254169464,0.00442692572748312,1.96470123714537E-6,1,0.999253354069792,40.0298881530762,1.99455207837943,4.72000008448958,0.0500694488486098,0.00870196456770394,2.5,7.70397966980574E-7,0.0044268006977194,3.71069922461143E-6,299.942535400391,299.942535400391,-4.63717746734619,-3.58900761604309,49.4122101002168,17.0667266927181,48.1907539367676,0,0,0,40,299.941528320313,1,6,1,1.89895629882813,39.1006851196289,,,,,,,,,,,,,,,,
,3932116962.272,299.943237304687,-5.14466190338135,0.00438087058738213,1.98104049740555E-6,1,0.999253354069792,40.0298881530762,1.99457588374565,4.72000008448958,0.0495502801746606,0.0086048762352389,2.5,1.73825938061918E-7,0.00438074719133206,3.08354951165617E-6,299.943084716797,299.943084716797,-5.6521463394165,-4.63717746734619,48.9111862193898,17.0674839297976,48.1887283325195,0,0,0,40,299.938934326172,1,6,1,1.90078735351562,39.1006851196289,,,,,,,,,,,,,,,,
,3932116963.241,299.942962646484,-6.11694550514221,0.0043339985107137,2.27824360432922E-6,1,0.999253354069792,40.0298881530762,1.99455226981171,4.72000008448958,0.0490189749042802,0.00851614361541576,2.5,4.75233923362588E-7,0.00433387627034559,3.35382011727947E-6,299.943389892578,299.943389892578,-6.58174467086792,-5.6521463394165,49.2488497396975,17.0688564065732,48.1903038024902,0,0,0,40,299.942810058594,1,6,1,1.90994262695313,39.5894432067871,,,,,,,,,,,,,,,,
,3932116964.189,299.942535400391,-7.09871506690979,0.0042881857142578,2.69211076709392E-6,1,0.999253354069792,40.0298881530762,1.99455163508541,4.72000008448958,0.0484991761231383,0.00843548889638547,2.5,1.29847411780395E-6,0.00428806427264434,4.14661349315751E-6,299.942535400391,299.942535400391,-7.61568546295166,-6.58174467086792,49.0636037806398,17.0681903418145,48.1885032653809,0,0,0,40,299.941101074219,1,6,1,1.89895629882813,43.0107536315918,,,,,,,,,,,,,,,,
,3932116965.206,299.941741943359,-8.12316989898682,0.0042387868043792,2.0689690107347E-6,1,0.999253354069792,40.0298881530762,1.99456599629536,4.72000008448958,0.047941254445475,0.00833581405597419,2.5,1.05735128691505E-6,0.00423866701609644,3.87269592157167E-6,299.942535400391,299.942535400391,-8.63065433502197,-7.61568546295166,49.0917424073321,17.0671305261955,48.1930046081543,0,0,0,40,299.941375732422,1,6,1,1.9000244140625,39.1006851196289,,,,,,,,,,,,,,,,
,3932116966.1715,299.941452026367,-9.03379678726196,0.00418584898433634,2.13454113073104E-6,1,0.999253354069792,40.0298881530762,1.99453765990165,4.72000008448958,0.0473441881450663,0.00821826367346082,2.5,-1.34644209788289E-7,0.00418573151260397,2.64557606454867E-6,299.940948486328,299.940948486328,-9.43693923950195,-8.63065433502197,49.1128463773513,17.0671744579282,48.1979598999023,0,0,0,40,299.942108154297,1,6,1,1.91162109375,40.0782012939453,,,,,,,,,,,,,,,,
,3932116967.133,299.942245483398,-9.97050952911377,0.00413695388195145,2.33157439384156E-6,1,0.999253354069792,40.0298881530762,1.99455437045471,4.72000008448958,0.0467895230966311,0.00813391750948587,2.5,8.91329087105484E-7,0.00413683700039846,3.63903588427416E-6,299.941955566406,299.941955566406,-10.5040798187256,-9.43693923950195,49.0792363510244,17.0677345626523,48.1914291381836,0,0,0,40,299.941375732422,1,6,1,1.90032958984375,39.5894432067871,,,,,,,,,,,,,,,,
,3932116968.1105,299.942031860352,-11.0091934204102,0.00408647015493672,2.5508457787961E-6,1,0.999253354069792,40.0298881530762,1.99456889363353,4.72000008448958,0.0462202549733805,0.00802673456474473,2.5,1.7490283083908E-7,0.00408635519536074,2.88910106434743E-6,299.942535400391,299.942535400391,-11.5143070220947,-10.5040798187256,49.1269156906975,17.068545001987,48.1957092285156,0,0,0,40,299.939392089844,1,6,1,1.90078735351562,40.0782012939453,,,,,,,,,,,,,,,,
,3932116969.149,299.942459106445,-11.98859167099,0.00403725203934024,2.13169747409348E-6,1,0.999253354069792,40.0298881530762,1.99457825145465,4.72000008448958,0.0456604589020542,0.00794920250747586,2.5,1.86213436175075E-6,0.00403713728892104,4.54359016389522E-6,299.941528320313,299.941528320313,-12.4628763198853,-11.5143070220947,48.8775761930629,17.0678337995184,48.197509765625,0,0,0,40,299.941375732422,1,6,1,1.9000244140625,39.5894432067871,,,,,,,,,,,,,,,,
,3932116970.1865,299.943740844727,-12.9727325439453,0.00398175671784734,2.49765825157799E-6,1,0.999253354069792,40.0298881530762,1.99461604330289,4.72000008448958,0.0450347934681141,0.00783342406802918,2.5,1.24836806098126E-6,0.00398164377743428,3.89296792878099E-6,299.943389892578,299.943389892578,-13.4825887680054,-12.4628763198853,49.1800664300052,17.0691178099572,48.1986351013184,0,0,0,40,299.941101074219,1,6,1,1.89987182617187,40.0782012939453,,,,,,,,,,,,,,,,
,3932116971.149,299.943374633789,-13.9900732040405,0.00393064690736128,2.66190782798345E-6,1,0.999253354069792,40.0298881530762,1.99456726258227,4.72000008448958,0.044454945111687,0.00773692936237412,2.5,1.60695140962341E-6,0.00393053521241526,4.2175983633068E-6,299.944091796875,299.944091796875,-14.4975576400757,-13.4825887680054,49.0456263246975,17.0694423963716,48.1945838928223,0,0,0,40,299.941101074219,1,6,1,1.8988037109375,40.0782012939453,,,,,,,,,,,,,,,,
,3932116972.121,299.94287109375,-14.9552426338196,0.00387653158383736,2.78029499487101E-6,1,0.999253354069792,40.0298881530762,1.99458317653809,4.72000008448958,0.043845645960143,0.00761665530639585,2.5,3.63473471033564E-7,0.00387642229830823,2.93821767826193E-6,299.942657470703,299.942657470703,-15.4129276275635,-14.4975576400757,49.1230075481014,17.0691229208172,48.1952590942383,0,0,0,40,299.941528320313,1,6,1,1.900634765625,40.0782012939453,,,,,,,,,,,,,,,,
,3932116973.109,299.942810058594,-15.8540124893188,0.00382357516109653,2.15466104470581E-6,1,0.999253354069792,40.0298881530762,1.99463243683663,4.72000008448958,0.0432452474395159,0.00752696213402439,2.5,1.61194192169554E-6,0.00382346654320855,4.15147838360568E-6,299.943084716797,299.943084716797,-16.2950973510742,-15.4129276275635,49.1065933491975,17.0664514606047,48.1943588256836,0,0,0,40,299.940368652344,1,6,1,1.8988037109375,40.5669593811035,,,,,,,,,,,,,,,,
,3932116974.91,299.943176269531,-17.6159801483154,0.00371385764145745,2.73459480266243E-6,1,0.999253354069792,40.0298881530762,1.99454102477347,4.72000008448958,0.0419881789258467,0.00732082522915696,0.25,2.65245030261239E-6,0.00371375137645803,5.119080338189E-6,299.942535400391,299.942535400391,-18.9368629455566,-16.2950973510742,49.2386885689475,17.069297694287,48.1914291381836,0,0,0,40,299.940368652344,1,6,1,1.90170288085938,41.055721282959,,,,,,,,,,,,,,,,
,3932116976.4125,299.943450927734,-19.1763772964478,0.00366013367344429,2.71594714958733E-6,1,0.999253354069792,40.0298881530762,1.99458037346129,4.72000008448958,0.0413814664536701,0.00721566543363602,0.25,2.66757942272817E-6,0.00366002887901672,5.09852327547252E-6,299.943817138672,299.943817138672,-19.4158916473389,-18.9368629455566,49.2832413945437,17.069047344081,48.1957092285156,0,0,0,40,299.940093994141,1,6,1,1.9024658203125,40.5669593811035,,,,,,,,,,,,,,,,
,3932116977.1195,299.943450927734,-19.8688335418701,0.00360466286520318,1.84173384320948E-6,1,0.999253354069792,40.0298881530762,1.99454727887168,4.72000008448958,0.0407525669627386,0.0071125055889879,0.25,3.1852016234067E-6,0.00360455928833441,5.57928774729045E-6,299.943084716797,299.943084716797,-20.3217754364014,-19.4158916473389,49.4075203291014,17.0699177807766,48.1894035339355,0,0,0,40,299.940795898438,1,6,1,1.9012451171875,41.055721282959,,,,,,,,,,,,,,,,
,3932116978.128,299.943603515625,-20.8553457260132,0.00354869220965299,2.7180577237521E-6,1,0.999253354069792,40.0298881530762,1.9945562021087,4.72000008448958,0.0401205049462511,0.0069989737103601,0.25,2.85945936427565E-6,0.00354859040780531,5.21637802527706E-6,299.943817138672,299.943817138672,-21.388916015625,-20.3217754364014,48.8853924782552,17.0698659374594,48.1898536682129,0,0,0,40,299.940521240234,1,6,1,1.8988037109375,40.5669593811035,,,,,,,,,,,,,,,,
,3932116979.172,299.943313598633,-21.9699144363403,0.00349413894480342,2.94721061865999E-6,1,0.999253354069792,40.0298881530762,1.9945543960282,4.72000008448958,0.0395036186286842,0.00689188400582132,0.25,2.86059604576793E-6,0.00349403870935401,5.18128362041718E-6,299.943389892578,299.943389892578,-22.5509128570557,-21.388916015625,48.8658517652744,17.0703386026914,48.1945838928223,0,0,0,40,299.937103271484,1,6,1,1.9000244140625,41.055721282959,,,,,,,,,,,,,,,,
,3932116980.157,299.943023681641,-22.9659118652344,0.00344033788004829,2.49061163976992E-6,1,0.999253354069792,40.0298881530762,1.99454327227181,4.72000008448958,0.0388955506956721,0.00678343603852516,0.25,2.6136960310711E-6,0.00344023935359731,4.8986590341342E-6,299.943237304687,299.943237304687,-23.3809108734131,-22.5509128570557,49.5732255751783,17.069542955655,48.1970596313477,0,0,0,40,299.941802978516,1,6,1,1.9097900390625,41.055721282959,,,,,,,,,,,,,,,,
,3932116981.117,299.943664550781,-23.893138885498,0.00338444292182284,2.36460134539117E-6,1,0.999253354069792,40.0298881530762,1.99458928714735,4.72000008448958,0.0382644124718927,0.00667368385133818,0.25,2.59863354932149E-6,0.00338434591078831,4.84646622827485E-6,299.942810058594,299.942810058594,-24.405366897583,-23.3809108734131,49.3410819049668,17.0681896091023,48.1941337585449,0,0,0,40,299.940093994141,1,6,1,1.90109252929687,41.055721282959,,,,,,,,,,,,,,,,
,3932116982.1405,299.943954467773,-24.9152240753174,0.00332905261429487,2.50931107797833E-6,1,0.999253354069792,40.0298881530762,1.99458003051782,4.72000008448958,0.0376366337731622,0.0065723169594508,0.25,3.25343796374016E-6,0.00332895669792956,5.46445993734741E-6,299.944519042969,299.944519042969,-25.4250812530518,-24.405366897583,49.1269156906975,17.0704151779076,48.1999855041504,0,0,0,40,299.938507080078,1,6,1,1.91085815429687,41.5444793701172,,,,,,,,,,,,,,,,
,3932116983.169,299.943603515625,-25.3942518234253,0.0032778509344821,2.73489293054694E-6,1,0.999253354069792,40.0298881530762,1.99458052363159,4.72000008448958,0.0370585075812652,0.00646705521791078,0.25,2.83377754970932E-6,0.00327775677445019,5.01080687062251E-6,299.943389892578,299.943389892578,-25.4250812530518,-25.3634223937988,49.1409850040437,17.0702979892867,48.196159362793,0,0,0,40,299.939086914063,1,4,1,1.90032958984375,41.055721282959,,,,,,,,,,,,,,,,
,3932116991.1655,299.944396972656,-25.3729095458984,0.00325009231204165,5.33500956397875E-7,1,0.999253354069792,40.0298881530762,1.99461485597299,4.72000008448958,0.0367448516139032,0.00641488564102199,0.25,3.03006680120224E-6,0.00324999872326335,5.18864675669865E-6,299.944396972656,299.944396972656,-25.3729095458984,-25.3729095458984,49.4317508131975,17.0710948665062,48.1912040710449,0,0,0,40,299.939514160156,1,6,1,1.90032958984375,41.5444793701172,,,,,,,,,,,,,,,,
,3932116991.425,299.944396972656,-25.202166557312,0.00325090170603967,7.73158763595504E-7,1,0.999253354069792,40.0298881530762,1.9945791452349,4.72000008448958,0.0367540922353533,0.0064122062505131,0.25,2.66236178541628E-6,0.00325080833867818,4.8214897089464E-6,299.944396972656,299.944396972656,-25.3729095458984,-25.0314235687256,49.5474318340437,17.0722570775959,48.1921043395996,0,0,0,40,299.937377929687,1,6,1,1.90155029296875,41.5444793701172,,,,,,,,,,,,,,,,
,3932116992.1745,299.943893432617,-24.4527959823608,0.00326133219673767,8.16380659834264E-7,1,0.999253354069792,40.0298881530762,1.9946218764939,4.72000008448958,0.0368720073654238,0.00643735452339299,0.25,3.06372829184782E-6,0.00326123831972969,5.22977716948837E-6,299.944396972656,299.944396972656,-25.0314235687256,-23.8741683959961,48.9893490713129,17.0706317398472,48.1857986450195,0,0,0,40,299.937957763672,1,6,1,1.90048217773438,41.5444793701172,,,,,,,,,,,,,,,,
,3932116993.2015,299.943740844727,-23.3548259735107,0.00327104973951045,8.80727316981225E-7,1,0.999253354069792,40.0298881530762,1.99463598111064,4.72000008448958,0.0369830737982865,0.00645110901555665,0.25,2.58908123554974E-6,0.00327095591954231,4.76159920434421E-6,299.943389892578,299.943389892578,-23.8741683959961,-22.8354835510254,49.0354651539475,17.0709479231103,48.1914291381836,0,0,0,40,299.933807373047,1,6,1,1.90216064453125,42.0332374572754,,,,,,,,,,,,,,,,
,3932116994.2145,299.943740844727,-22.3683137893677,0.00328210759167105,8.54752400663429E-7,1,0.999253354069792,40.0298881530762,1.99458060758254,4.72000008448958,0.0371063758144701,0.00647693818047917,0.25,2.96874646039657E-6,0.00328201320817677,5.14859833880276E-6,299.944091796875,299.944091796875,-22.8354835510254,-21.90114402771,49.3246677060629,17.0718572971324,48.1855735778809,0,0,0,40,299.940368652344,1,6,1,1.900634765625,42.0332374572754,,,,,,,,,,,,,,,,
,3932116995.19,299.942962646484,-21.4576873779297,0.00329362787483871,8.05464421048377E-7,1,0.999253354069792,40.0298881530762,1.99457608333326,4.72000008448958,0.037238165029164,0.00649029707059491,0.25,2.15126958846737E-6,0.00329353378927367,4.33880305099345E-6,299.943389892578,299.943389892578,-21.90114402771,-21.0142307281494,49.2691720811975,17.0724255878608,48.1878280639648,0,0,0,40,299.938934326172,1,6,1,1.91131591796875,42.0332374572754,,,,,,,,,,,,,,,,
,3932116996.134,299.942962646484,-20.5020027160645,0.00330502127524657,8.46948983491713E-7,1,0.999253354069792,40.0298881530762,1.99458443552636,4.72000008448958,0.0373646851982106,0.00652686125955694,0.25,3.40448543156975E-6,0.00330492603677825,5.59955112468575E-6,299.942535400391,299.942535400391,-21.0142307281494,-19.9897747039795,49.169123630736,17.0719703986441,48.1923294067383,0,0,0,40,299.937957763672,1,6,1,1.89895629882813,42.0332374572754,,,,,,,,,,,,,,,,
,3932116997.149,299.943389892578,-19.4609479904175,0.00331645753341131,9.20730056448953E-7,1,0.999253354069792,40.0298881530762,1.99459750496831,4.72000008448958,0.0374944371352039,0.00654819655269863,0.25,3.30213070353096E-6,0.00331636199732514,5.50479144340679E-6,299.943389892578,299.943389892578,-19.9897747039795,-18.9321212768555,49.0589140095244,17.072353027967,48.2013397216797,0,0,0,40,299.938934326172,1,6,1,1.89971923828125,42.0332374572754,,,,,,,,,,,,,,,,
,3932116998.193,299.942459106445,-18.4080362319946,0.00332852206247158,8.60962141110013E-7,1,0.999253354069792,40.0298881530762,1.99461556305169,4.72000008448958,0.0376317797320852,0.00656852038702197,0.25,2.99978812573957E-6,0.00332842648353677,5.21047890040321E-6,299.943389892578,299.943389892578,-18.9321212768555,-17.8839511871338,49.2769883663898,17.0731322501962,48.2013397216797,0,0,0,40,299.93994140625,1,6,1,1.89910888671875,42.0332374572754,,,,,,,,,,,,,,,,
,3932116999.162,299.941314697266,-17.4428663253784,0.00334032015376582,8.5517093108224E-7,1,0.999253354069792,40.0298881530762,1.99465610845711,4.72000008448958,0.037766214147803,0.00659016686104771,0.25,2.85430870853791E-6,0.00334022445806644,5.07285008529494E-6,299.941528320313,299.941528320313,-17.8839511871338,-17.001781463623,49.2988739649283,17.0711859009581,48.1999855041504,0,0,0,40,299.940093994141,1,6,1,1.900634765625,42.0332374572754,,,,,,,,,,,,,,,,
,3932117000.107,299.941604614258,-16.4824395179749,0.00335114990147059,9.45288189762675E-7,1,0.999253354069792,40.0298881530762,1.99460645255768,4.72000008448958,0.0378872858751579,0.00661403956372446,0.25,3.09925370658885E-6,0.00335105370888286,5.32497876591404E-6,299.941101074219,299.941101074219,-17.001781463623,-15.9630975723267,48.8080112548513,17.0719302045277,48.1952590942383,0,0,0,40,299.939514160156,1,6,1,1.90887451171875,42.5219955444336,,,,,,,,,,,,,,,,
,3932117001.12,299.942321777344,-15.4390125274658,0.00336381636559484,1.03647216931565E-6,1,0.999253354069792,40.0298881530762,1.99464721857526,4.72000008448958,0.0380333718292244,0.00662687543297694,0.25,2.02376352780198E-6,0.00336372045684539,4.25792546341892E-6,299.942108154297,299.942108154297,-15.9630975723267,-14.914927482605,49.1566175744283,17.0732237299068,48.1936798095703,0,0,0,40,299.941802978516,1,6,1,1.9000244140625,42.5219955444336,,,,,,,,,,,,,,,,
,3932117002.1185,299.942535400391,-14.4999284744263,0.00337640025603941,8.44211632062916E-7,1,0.999253354069792,40.0298881530762,1.99460034247964,4.72000008448958,0.0381719457240868,0.00666789201627913,0.25,3.47959862055E-6,0.00337630300423689,5.72207591218154E-6,299.942535400391,299.942535400391,-14.914927482605,-14.0849294662476,49.4208080139283,17.0739364055207,48.1979598999023,0,0,0,40,299.940368652344,1,6,1,1.90078735351562,42.0332374572754,,,,,,,,,,,,,,,,
,3932117003.0915,299.942245483398,-13.5798163414001,0.00338962926168453,9.10651260065628E-7,1,0.999253354069792,40.0298881530762,1.99464033755306,4.72000008448958,0.03832357463416,0.00668649773793287,0.25,2.81679915591337E-6,0.0033895321085357,5.06808439581998E-6,299.942535400391,299.942535400391,-14.0849294662476,-13.0747032165527,49.2254008841206,17.0737698159035,48.1984100341797,0,0,0,40,299.940368652344,1,6,1,1.900634765625,42.5219955444336,,,,,,,,,,,,,,,,
,3932117004.135,299.942245483398,-12.5174188613892,0.00340186215544589,1.02224730645257E-6,1,0.999253354069792,40.0298881530762,1.99467182469644,4.72000008448958,0.0384611659091575,0.00671821809180004,0.25,3.48909629165811E-6,0.00340176421188682,5.74848773308037E-6,299.941955566406,299.941955566406,-13.0747032165527,-11.9601345062256,49.0682935517552,17.0744753086405,48.201114654541,0,0,0,40,299.940368652344,1,6,1,1.91192626953125,42.5219955444336,,,,,,,,,,,,,,,,
,3932117005.1535,299.942535400391,-11.4645066261292,0.00341425620282158,9.16603272315449E-7,1,0.999253354069792,40.0298881530762,1.994632017226,4.72000008448958,0.0386019258491126,0.00673463987109116,0.25,2.80094661295012E-6,0.00341415833727709,5.06858688801388E-6,299.942535400391,299.942535400391,-11.9601345062256,-10.9688787460327,49.4950627232552,17.0760122338965,48.1952590942383,0,0,0,40,299.941528320313,1,6,1,1.90048217773438,42.5219955444336,,,,,,,,,,,,,,,,
,3932117006.1175,299.942245483398,-10.5633654594421,0.00342628947567081,9.28386093374472E-7,1,0.999253354069792,40.0298881530762,1.99463123267604,4.72000008448958,0.0387360244619382,0.00676952662195732,0.25,3.7971826863387E-6,0.00342619064081459,6.0727900968119E-6,299.942535400391,299.942535400391,-10.9688787460327,-10.1578521728516,48.993257213909,17.0747027010677,48.1986351013184,0,0,0,40,299.939514160156,1,6,1,1.90017700195313,42.5219955444336,,,,,,,,,,,,,,,,
